127.586,106.907,bass  instagramers  awesome  rock  like  guitar  band  harvard  likes  follow  girl  instagood  cool  swag  goodmusic  vocals  self  girls  lol  pocky  harvardsquare  f4f  fun  smile  piano  like4like  picoftheday  ,384
136.87629,111.3681,boston  %D0%B3%D0%B0%D1%80%D0%B2%D0%B0%D1%80%D0%B4  harvard  harvarduniversity  johnharvard  ,388
136.87629,111.3681,cambridge  shalomboston  harvard  ,393
136.87629,111.3681,tour  harvard  diary  20150920  ,394
136.87629,111.3681,boston  harvard  ,397
170.79044,127.61499,cambridge  ma  pageturner  boston  chambermusic  bcms  harvard  music  sanderstheater  professional  ,405
136.87629,111.3681,harvard  college  football  6  ,412
136.87629,111.3681,summer  harvard  fall  metropolitanfashionista  campus  trees  ,414
136.87629,111.3681,boston  university  harvard  massachusetts  ,415
320.38565,2.73585,nom  cambridge  foodie  foodporn  dumplings  boston  fat  bu  harvard  igersboston  yummy  pattychens  bostonbites  centralsquare  eatingfortheinsta  eeeeeats  dumplingroom  eats  foodpics  food  newforkcity  gyoza  vegetable  yum  ,419
136.87629,111.3681,wat  usa  e%C4%9Fitim%C5%9Fart  travel  harvarduniversity  harvard  massachusetts  e%C4%9Fitim  education  cambridgecity  ,420
136.87629,111.3681,wantstay  harvard  relax  boston  dayoff  unitedstates  ,424
154.52529,107.39501,cambridge  toursbyliz  harvard  ,426
120.91346,105.4798,ukraine  coop  love  harvard  university  cambridge  books  massachusetts  fun  ma  bookstore  book  ,428
136.87629,111.3681,college  cambridge  instahub  boston  instapic  kik  missit  harvard  insta  home  instadaily  kikme  ivyleague  boy  instaboy  usa  iphonesia  instasize  tagsforlikes  instacool  isnatmood  igersboston  tweegram  picoftheday  ,435
45.77778,32.88889,harvardstadium  harvard  fall  boston  football  bridgtonacademy  ,439
136.87629,111.3681,artoftrees%F0%9F%8C%B3%F0%9F%87%A7%F0%9F%87%B4  harvard  green  ,444
136.87629,111.3681,harvard  hindi  beauty  ,447
173.591,110.798,harvard  cambridge  %EC%89%AC%EB%8A%94%EB%82%A0  museum  %EB%8D%B0%EC%9D%BC%EB%A6%AC%EA%B7%B8%EB%9E%A8  roylichtenstein  ,452
